model,approach,history,history_frames,case_study,bag_name,global_bag_id,event_id_within_bag,event_key,unsafe_start_frame_id,unsafe_end_frame_id,unsafe_start_s,unsafe_end_s,previous_unsafe_end_s,first_warning_frame_id,first_warning_s,first_warning_label,speed_at_warning_mps,lead_time_s,t_required_s,warning_raw_source_file
qwen,appfr,H28,28,crowdbot,defaced_2021-04-24-11-48-21,crowdbot__defaced_2021-04-24-11-48-21,0,crowdbot__defaced_2021-04-24-11-48-21::defaced_2021-04-24-11-48-21_frame_000140,defaced_2021-04-24-11-48-21_frame_000140,defaced_2021-04-24-11-48-21_frame_000140,1619257710.9986827,1619257710.9986827,,defaced_2021-04-24-11-48-21_frame_000013,1619257701.604914,potentially_unsafe,0.3221184512748046,9.393768787384033,1.0221184512748045,qwen/appfr/h02/qwen_defaced_2021-04-24-11-48-21_appfr_h02.csv
qwen,appfr,H28,28,crowdbot,defaced_2021-04-24-11-48-21,crowdbot__defaced_2021-04-24-11-48-21,1,crowdbot__defaced_2021-04-24-11-48-21::defaced_2021-04-24-11-48-21_frame_000359,defaced_2021-04-24-11-48-21_frame_000359,defaced_2021-04-24-11-48-21_frame_000369,1619257727.5256565,1619257728.19479,1619257710.9986827,defaced_2021-04-24-11-48-21_frame_000141,1619257711.2237642,potentially_unsafe,0.9220146780252824,16.301892280578613,1.6220146780252824,qwen/appfr/h02/qwen_defaced_2021-04-24-11-48-21_appfr_h02.csv
qwen,appfr,H28,28,crowdbot,defaced_2021-04-24-11-48-21,crowdbot__defaced_2021-04-24-11-48-21,2,crowdbot__defaced_2021-04-24-11-48-21::defaced_2021-04-24-11-48-21_frame_001543,defaced_2021-04-24-11-48-21_frame_001543,defaced_2021-04-24-11-48-21_frame_001558,1619257818.5799668,1619257819.6715744,1619257728.19479,defaced_2021-04-24-11-48-21_frame_000370,1619257728.3356328,potentially_unsafe,0.2108188258825165,90.24433398246765,0.9108188258825165,qwen/appfr/h02/qwen_defaced_2021-04-24-11-48-21_appfr_h02.csv
qwen,appfr,H28,28,crowdbot,defaced_2021-04-24-11-55-30,crowdbot__defaced_2021-04-24-11-55-30,0,crowdbot__defaced_2021-04-24-11-55-30::defaced_2021-04-24-11-55-30_frame_000414,defaced_2021-04-24-11-55-30_frame_000414,defaced_2021-04-24-11-55-30_frame_000426,1619258161.0030267,1619258161.8405566,,defaced_2021-04-24-11-55-30_frame_000026,1619258131.4665036,potentially_unsafe,0.1448654659121444,29.53652310371399,0.8448654659121444,qwen/appfr/h02/qwen_defaced_2021-04-24-11-55-30_appfr_h02.csv
qwen,appfr,H28,28,crowdbot,defaced_2021-04-24-11-55-30,crowdbot__defaced_2021-04-24-11-55-30,1,crowdbot__defaced_2021-04-24-11-55-30::defaced_2021-04-24-11-55-30_frame_001344,defaced_2021-04-24-11-55-30_frame_001344,defaced_2021-04-24-11-55-30_frame_001346,1619258229.040547,1619258229.1530662,1619258161.8405566,defaced_2021-04-24-11-55-30_frame_000502,1619258167.731737,potentially_unsafe,1.109731929812267,61.308809995651245,1.809731929812267,qwen/appfr/h02/qwen_defaced_2021-04-24-11-55-30_appfr_h02.csv
qwen,appfr,H28,28,crowdbot,defaced_2021-04-24-11-55-30,crowdbot__defaced_2021-04-24-11-55-30,2,crowdbot__defaced_2021-04-24-11-55-30::defaced_2021-04-24-11-55-30_frame_001479,defaced_2021-04-24-11-55-30_frame_001479,defaced_2021-04-24-11-55-30_frame_001483,1619258238.0427327,1619258238.2890978,1619258229.1530662,defaced_2021-04-24-11-55-30_frame_001347,1619258229.2445078,potentially_unsafe,1.0220363279578757,8.798224925994873,1.7220363279578756,qwen/appfr/h02/qwen_defaced_2021-04-24-11-55-30_appfr_h02.csv
qwen,appfr,H28,28,huron,bww1_Feb-16-2023-bww1-intloss_00000000,huron__bww1_Feb-16-2023-bww1-intloss_00000000,0,huron__bww1_Feb-16-2023-bww1-intloss_00000000::108,108,109,10.656168,10.743546,,,,,,,,
qwen,appfr,H28,28,huron,bww1_Feb-16-2023-bww1-intloss_00000001,huron__bww1_Feb-16-2023-bww1-intloss_00000001,0,huron__bww1_Feb-16-2023-bww1-intloss_00000001::1373,1373,1373,123.417964,123.417964,,976,86.811369,potentially_unsafe,0.0024853133333333,36.606595,0.7024853133333333,qwen/bww1_Feb-16-2023-bww1-intloss_00000001/all15_qwen_bww1_Feb-16-2023-bww1-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,bww1_Feb-16-2023-bww1-intloss_00000001,huron__bww1_Feb-16-2023-bww1-intloss_00000001,1,huron__bww1_Feb-16-2023-bww1-intloss_00000001::1413,1413,1414,127.211577,127.307266,123.417964,,,,,,,
qwen,appfr,H28,28,huron,bww2_Feb-20-2023-bww2-intloss_00000000,huron__bww2_Feb-20-2023-bww2-intloss_00000000,0,huron__bww2_Feb-20-2023-bww2-intloss_00000000::191,191,191,20.160272,20.160272,,,,,,,,
qwen,appfr,H28,28,huron,bww2_Feb-20-2023-bww2-intloss_00000001,huron__bww2_Feb-20-2023-bww2-intloss_00000001,0,huron__bww2_Feb-20-2023-bww2-intloss_00000001::321,321,321,30.12045,30.12045,,,,,,,,
qwen,appfr,H28,28,huron,bww2_Feb-20-2023-bww2-intloss_00000001,huron__bww2_Feb-20-2023-bww2-intloss_00000001,1,huron__bww2_Feb-20-2023-bww2-intloss_00000001::383,383,383,35.819463,35.819463,30.12045,,,,,,,
qwen,appfr,H28,28,huron,bww2_Feb-20-2023-bww2-intloss_00000002,huron__bww2_Feb-20-2023-bww2-intloss_00000002,0,huron__bww2_Feb-20-2023-bww2-intloss_00000002::289,289,292,30.057883,30.330316,,,,,,,,
qwen,appfr,H28,28,huron,bww2_Feb-20-2023-bww2-intloss_00000002,huron__bww2_Feb-20-2023-bww2-intloss_00000002,1,huron__bww2_Feb-20-2023-bww2-intloss_00000002::318,318,321,32.625853,32.931381,30.330316,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,0,huron__bww8_Feb-03-2023-bww8-intloss_00000000::103,103,109,10.133288,10.696014,,24,2.76664,potentially_unsafe,0.0878942299999999,7.366648,0.7878942299999999,qwen/bww8_Feb-03-2023-bww8-intloss_00000000/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000000_h2_frame.csv
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,1,huron__bww8_Feb-03-2023-bww8-intloss_00000000::300,300,302,30.290092,30.470755,10.696014,171,16.958404,potentially_unsafe,0.1062573433333333,13.331688,0.8062573433333333,qwen/bww8_Feb-03-2023-bww8-intloss_00000000/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000000_h2_frame.csv
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,2,huron__bww8_Feb-03-2023-bww8-intloss_00000000::477,477,479,48.257437,48.482247,30.470755,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,3,huron__bww8_Feb-03-2023-bww8-intloss_00000000::936,936,940,93.89156,94.327979,48.482247,811,81.413007,potentially_unsafe,0.1157288066666666,12.478553000000005,0.8157288066666666,qwen/bww8_Feb-03-2023-bww8-intloss_00000000/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000000_h2_frame.csv
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,4,huron__bww8_Feb-03-2023-bww8-intloss_00000000::1055,1055,1057,106.18962,106.361196,94.327979,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000000,huron__bww8_Feb-03-2023-bww8-intloss_00000000,5,huron__bww8_Feb-03-2023-bww8-intloss_00000000::1059,1059,1063,106.573479,107.056296,106.361196,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,0,huron__bww8_Feb-03-2023-bww8-intloss_00000001::263,263,264,27.035605,27.141632,,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,1,huron__bww8_Feb-03-2023-bww8-intloss_00000001::362,362,362,36.752984,36.752984,27.141632,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,2,huron__bww8_Feb-03-2023-bww8-intloss_00000001::591,591,594,58.788419,59.140465,36.752984,581,57.697426,potentially_unsafe,0.1256768066666666,1.0909929999999974,0.8256768066666667,qwen/bww8_Feb-03-2023-bww8-intloss_00000001/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,3,huron__bww8_Feb-03-2023-bww8-intloss_00000001::621,621,623,61.645425,61.826772,59.140465,605,60.142976,potentially_unsafe,0.0028994633333333,1.5024490000000057,0.7028994633333333,qwen/bww8_Feb-03-2023-bww8-intloss_00000001/all15_qwen_bww8_Feb-03-2023-bww8-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000001,huron__bww8_Feb-03-2023-bww8-intloss_00000001,4,huron__bww8_Feb-03-2023-bww8-intloss_00000001::926,926,928,94.316595,94.497402,61.826772,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000002,huron__bww8_Feb-03-2023-bww8-intloss_00000002,0,huron__bww8_Feb-03-2023-bww8-intloss_00000002::439,439,443,36.70497,37.046896,,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000002,huron__bww8_Feb-03-2023-bww8-intloss_00000002,1,huron__bww8_Feb-03-2023-bww8-intloss_00000002::669,669,683,60.640432,62.373055,37.046896,,,,,,,
qwen,appfr,H28,28,huron,bww8_Feb-03-2023-bww8-intloss_00000002,huron__bww8_Feb-03-2023-bww8-intloss_00000002,2,huron__bww8_Feb-03-2023-bww8-intloss_00000002::688,688,696,63.020609,64.016182,62.373055,,,,,,,
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000000,huron__cory1_Feb-16-2023-cory1-intloss_00000000,0,huron__cory1_Feb-16-2023-cory1-intloss_00000000::68,68,78,5.680737,6.532033,,,,,,,,
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000000,huron__cory1_Feb-16-2023-cory1-intloss_00000000,1,huron__cory1_Feb-16-2023-cory1-intloss_00000000::98,98,105,8.194939,8.785111,6.532033,,,,,,,
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,0,huron__cory1_Feb-16-2023-cory1-intloss_00000001::473,473,473,39.769127,39.769127,,,,,,,,
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,1,huron__cory1_Feb-16-2023-cory1-intloss_00000001::510,510,515,42.834701,43.241204,39.769127,478,40.173961,potentially_unsafe,0.1098168633333333,2.660740000000004,0.8098168633333334,qwen/cory1_Feb-16-2023-cory1-intloss_00000001/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,2,huron__cory1_Feb-16-2023-cory1-intloss_00000001::843,843,843,70.623755,70.623755,43.241204,523,43.909137,potentially_unsafe,0.0873271166666666,26.714618,0.7873271166666667,qwen/cory1_Feb-16-2023-cory1-intloss_00000001/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,3,huron__cory1_Feb-16-2023-cory1-intloss_00000001::1733,1733,1751,146.611453,148.099933,70.623755,,,,,,,
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000001,huron__cory1_Feb-16-2023-cory1-intloss_00000001,4,huron__cory1_Feb-16-2023-cory1-intloss_00000001::1762,1762,1764,148.995139,149.162222,148.099933,1752,148.185353,potentially_unsafe,0.0270603666666666,0.8097860000000026,0.7270603666666666,qwen/cory1_Feb-16-2023-cory1-intloss_00000001/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,0,huron__cory1_Feb-16-2023-cory1-intloss_00000002::406,406,406,33.84382,33.84382,,,,,,,,
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,1,huron__cory1_Feb-16-2023-cory1-intloss_00000002::1089,1089,1089,91.666821,91.666821,33.84382,,,,,,,
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,2,huron__cory1_Feb-16-2023-cory1-intloss_00000002::1120,1120,1122,94.393374,94.560832,91.666821,1107,93.325716,potentially_unsafe,0.2331837566666666,1.0676579999999944,0.9331837566666666,qwen/cory1_Feb-16-2023-cory1-intloss_00000002/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000002_h2_frame.csv
qwen,appfr,H28,28,huron,cory1_Feb-16-2023-cory1-intloss_00000002,huron__cory1_Feb-16-2023-cory1-intloss_00000002,3,huron__cory1_Feb-16-2023-cory1-intloss_00000002::1363,1363,1369,115.786238,116.379826,94.560832,1123,94.640165,potentially_unsafe,0.0548007833333333,21.146073,0.7548007833333333,qwen/cory1_Feb-16-2023-cory1-intloss_00000002/all15_qwen_cory1_Feb-16-2023-cory1-intloss_00000002_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000000,huron__soda3_Feb-21-2023-soda3-intloss_00000000,0,huron__soda3_Feb-21-2023-soda3-intloss_00000000::1076,1076,1088,93.984132,95.026734,,,,,,,,
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000000,huron__soda3_Feb-21-2023-soda3-intloss_00000000,1,huron__soda3_Feb-21-2023-soda3-intloss_00000000::1591,1591,1591,137.812382,137.812382,95.026734,,,,,,,
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000000,huron__soda3_Feb-21-2023-soda3-intloss_00000000,2,huron__soda3_Feb-21-2023-soda3-intloss_00000000::2243,2243,2245,191.261103,191.500738,137.812382,,,,,,,
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,0,huron__soda3_Feb-21-2023-soda3-intloss_00000001::392,392,395,36.986741,37.338287,,,,,,,,
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,1,huron__soda3_Feb-21-2023-soda3-intloss_00000001::401,401,403,37.97136,38.190927,37.338287,398,37.681465,potentially_unsafe,0.1628807033333333,0.28989499999999424,0.8628807033333333,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,2,huron__soda3_Feb-21-2023-soda3-intloss_00000001::405,405,407,38.367406,38.579696,38.190927,404,38.27883,potentially_unsafe,0.1713880266666666,0.08857600000000332,0.8713880266666666,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,3,huron__soda3_Feb-21-2023-soda3-intloss_00000001::409,409,415,38.784225,39.341308,38.579696,408,38.682469,potentially_unsafe,0.1612695666666667,0.10175600000000173,0.8612695666666668,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,4,huron__soda3_Feb-21-2023-soda3-intloss_00000001::481,481,483,46.194766,46.40057,39.341308,418,39.671213,potentially_unsafe,0.0593767766666666,6.523553,0.7593767766666666,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,5,huron__soda3_Feb-21-2023-soda3-intloss_00000001::488,488,490,46.984466,47.186473,46.40057,484,46.528743,potentially_unsafe,0.09695611,0.455722999999999,0.79695611,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,6,huron__soda3_Feb-21-2023-soda3-intloss_00000001::547,547,550,53.47624,53.81352,47.186473,491,47.27904,potentially_unsafe,0.2300896199999999,6.197199999999995,0.93008962,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,7,huron__soda3_Feb-21-2023-soda3-intloss_00000001::581,581,583,57.731239,58.004201,53.81352,551,53.990504,potentially_unsafe,0.1775378,3.740735000000001,0.8775378,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,8,huron__soda3_Feb-21-2023-soda3-intloss_00000001::806,806,808,81.413118,81.60453,58.004201,584,58.110487,potentially_unsafe,0.0856972866666666,23.302630999999998,0.7856972866666666,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,9,huron__soda3_Feb-21-2023-soda3-intloss_00000001::863,863,866,88.393185,88.700777,81.60453,820,82.995669,potentially_unsafe,0.213564655,5.397515999999996,0.9135646550000001,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,10,huron__soda3_Feb-21-2023-soda3-intloss_00000001::880,880,886,90.35647,91.078271,88.700777,,,,,,,
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000001,huron__soda3_Feb-21-2023-soda3-intloss_00000001,11,huron__soda3_Feb-21-2023-soda3-intloss_00000001::1152,1152,1152,119.690799,119.690799,91.078271,1037,107.750962,potentially_unsafe,0.1552737099999999,11.939836999999997,0.8552737099999999,qwen/soda3_Feb-21-2023-soda3-intloss_00000001/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000001_h2_frame.csv
qwen,appfr,H28,28,huron,soda3_Feb-21-2023-soda3-intloss_00000002,huron__soda3_Feb-21-2023-soda3-intloss_00000002,0,huron__soda3_Feb-21-2023-soda3-intloss_00000002::206,206,209,18.586589,18.919622,,63,5.711609,potentially_unsafe,0.0,12.87498,0.7,qwen/soda3_Feb-21-2023-soda3-intloss_00000002/all15_qwen_soda3_Feb-21-2023-soda3-intloss_00000002_h2_frame.csv
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,0,pal__rosbag2_2025_07_11-13_55_25::447,447,494,15.013521,16.581196,,191,6.476402,potentially_unsafe,0.337268,8.537119,1.037268,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_55_25_visual_h02.csv
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,1,pal__rosbag2_2025_07_11-13_55_25::497,497,498,16.682252,16.714127,16.581196,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,2,pal__rosbag2_2025_07_11-13_55_25::1478,1478,1525,49.40349,50.971311,16.714127,1030,34.460034,potentially_unsafe,0.429027,14.943455999999998,1.129027,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_55_25_visual_h02.csv
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,3,pal__rosbag2_2025_07_11-13_55_25::1562,1562,1563,52.208054,52.240201,50.971311,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,4,pal__rosbag2_2025_07_11-13_55_25::1570,1570,1685,52.47278,56.309149,52.240201,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,5,pal__rosbag2_2025_07_11-13_55_25::1688,1688,1855,56.411006,61.980248,56.309149,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,6,pal__rosbag2_2025_07_11-13_55_25::2251,2251,2314,75.190733,77.292019,61.980248,1995,66.649511,potentially_unsafe,0.005833,8.54122199999999,0.705833,qwen/visual/h02/qwen_rosbag2_2025_07_11-13_55_25_visual_h02.csv
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,7,pal__rosbag2_2025_07_11-13_55_25::2709,2709,2728,90.468053,91.100589,77.292019,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,8,pal__rosbag2_2025_07_11-13_55_25::2775,2775,2796,92.668313,93.369377,91.100589,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,9,pal__rosbag2_2025_07_11-13_55_25::2803,2803,2816,93.602591,94.035991,93.369377,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,10,pal__rosbag2_2025_07_11-13_55_25::2819,2819,2820,94.136695,94.169595,94.035991,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,11,pal__rosbag2_2025_07_11-13_55_25::2823,2823,2824,94.269631,94.302894,94.169595,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,12,pal__rosbag2_2025_07_11-13_55_25::2945,2945,2948,98.339905,98.439135,94.302894,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,13,pal__rosbag2_2025_07_11-13_55_25::2951,2951,2978,98.539809,99.440714,98.439135,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,14,pal__rosbag2_2025_07_11-13_55_25::3023,3023,3232,100.941607,107.914895,99.440714,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,15,pal__rosbag2_2025_07_11-13_55_25::3275,3275,3483,109.347361,116.286366,107.914895,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,16,pal__rosbag2_2025_07_11-13_55_25::3489,3489,3489,116.485537,116.485537,116.286366,,,,,,,
qwen,appfr,H28,28,pal,rosbag2_2025_07_11-13_55_25,pal__rosbag2_2025_07_11-13_55_25,17,pal__rosbag2_2025_07_11-13_55_25::3666,3666,3667,122.390863,122.424199,116.485537,,,,,,,
qwen,appfr,H30,30,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,0,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000156,defaced_2021-04-24-11-20-18_frame_000160,1619256030.010507,1619256030.2988803,,defaced_2021-04-24-11-20-18_frame_000013,1619256019.1224778,potentially_unsafe,0.1403136130001667,10.888029336929321,0.8403136130001667,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv
qwen,appfr,H30,30,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,1,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000472,defaced_2021-04-24-11-20-18_frame_000483,1619256054.1597729,1619256054.9489992,1619256030.2988803,defaced_2021-04-24-11-20-18_frame_000161,1619256030.4325607,potentially_unsafe,0.1628870491246723,23.72721219062805,0.8628870491246723,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv
qwen,appfr,H30,30,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,2,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000918,defaced_2021-04-24-11-20-18_frame_000931,1619256089.364324,1619256090.611847,1619256054.9489992,defaced_2021-04-24-11-20-18_frame_000484,1619256055.174059,potentially_unsafe,0.4169133342014138,34.19026517868042,1.116913334201414,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv
qwen,appfr,H30,30,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,3,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000937,defaced_2021-04-24-11-20-18_frame_000937,defaced_2021-04-24-11-20-18_frame_000938,1619256091.5413358,1619256091.5624454,1619256090.611847,defaced_2021-04-24-11-20-18_frame_000932,1619256090.7384863,potentially_unsafe,0.2352767860392403,0.802849531173706,0.9352767860392404,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv
qwen,appfr,H30,30,crowdbot,defaced_2021-04-24-11-20-18,crowdbot__defaced_2021-04-24-11-20-18,4,crowdbot__defaced_2021-04-24-11-20-18::defaced_2021-04-24-11-20-18_frame_000997,defaced_2021-04-24-11-20-18_frame_000997,defaced_2021-04-24-11-20-18_frame_001010,1619256095.5463667,1619256096.3635666,1619256091.5624454,defaced_2021-04-24-11-20-18_frame_000939,1619256091.689114,potentially_unsafe,0.596285570108111,3.857252597808838,1.296285570108111,qwen/appfr/h02/qwen_defaced_2021-04-24-11-20-18_appfr_h02.csv
